idx,title_list,view_list,link_list,image_list
105,GOT7 TOURLOG EP.19,조회수 79만회,https://www.youtube.com/watch?v=8DG2cuwiH1I,https://i.ytimg.com/vi/8DG2cuwiH1I/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA68Tuy7EnwcuWq2owqjrjdDKKBmw
106,GOT7(갓세븐) HOTLINE #18 (Awards Ver.),조회수 35만회,https://www.youtube.com/watch?v=Eq8L6Ha7l3w,https://i.ytimg.com/vi/Eq8L6Ha7l3w/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCiAef0_KEI-wHHF7E8-Yf4T8bwCQ
107,GOT7 HOTLINE Awards Ver. TEASER,조회수 9.2만회,https://www.youtube.com/watch?v=8F9AjYO_JqU,https://i.ytimg.com/vi/8F9AjYO_JqU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBrRYW3iFKJXjkYe0y4-oEeQI-OMA
108,GOT7(갓세븐) TOURLOG EP.18,조회수 122만회,https://www.youtube.com/watch?v=9wUrCzpHH6k,https://i.ytimg.com/vi/9wUrCzpHH6k/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBiG6sDOR4-j1DZbpzqBtWBBfGsFQ
109,GOT7(갓세븐) HOTLINE #17,조회수 26만회,https://www.youtube.com/watch?v=2p40IGHnVwI,https://i.ytimg.com/vi/2p40IGHnVwI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA_VyzGzWC-h2pvj4wG7r_kU-5Cfw
110,GOT7(갓세븐) TOURLOG EP.17,조회수 38만회,https://www.youtube.com/watch?v=RmshOekUxPM,https://i.ytimg.com/vi/RmshOekUxPM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBwFiStBwMcRdwEHWqUQOpaVrKCjA
111,GOT7(갓세븐) HOTLINE #16,조회수 18만회,https://www.youtube.com/watch?v=i5MbPbsNngg,https://i.ytimg.com/vi/i5MbPbsNngg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7tS_Aa6kcNC01I48fD2yHIh3cnA
112,GOT7(갓세븐) HOTLINE #15,조회수 22만회,https://www.youtube.com/watch?v=gx-i0F_Ua80,https://i.ytimg.com/vi/gx-i0F_Ua80/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDPeyicoLS2sKzyTNPWUyjD_hoX9g
113,GOT7(갓세븐) HOTLINE #14,조회수 43만회,https://www.youtube.com/watch?v=aJIkwKYwpfs,https://i.ytimg.com/vi/aJIkwKYwpfs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDl5QoIjQnfl34rH0az56uHXbQ8hA
114,GOT7(갓세븐) HOTLINE #13,조회수 12만회,https://www.youtube.com/watch?v=E0Fc50UbPAQ,https://i.ytimg.com/vi/E0Fc50UbPAQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAl1fYPSHD_vFjzUpgZIZaeUfyJAA
