idx,title_list,view_list,link_list,image_list
13,에스파 지켜!ㅣaespa 에스파 'Next Level' 음악방송 비하인드,조회수 75만회,https://www.youtube.com/watch?v=FPGk1A9Op1M,https://i.ytimg.com/vi/FPGk1A9Op1M/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDgSvfDLr4E4v92bs40Xr1hSRLKpw
14,aespa 에스파 'ep1. Black Mamba' - SM Culture Universe Behind The Scenes,조회수 170만회,https://www.youtube.com/watch?v=5PSHerY3RdU,https://i.ytimg.com/vi/5PSHerY3RdU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBXGrEsIk-3m5FKeLLxePmT57V07Q
15,aespa 에스파 'Next Level' MV Behind The Scenes,조회수 128만회,https://www.youtube.com/watch?v=sRVfjgqz0pA,https://i.ytimg.com/vi/sRVfjgqz0pA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAbP9Gt4VvOeUyhT-WJoijIQ9AUtg
16,aespa 에스파 'Next Level' Jacket Behind The Scenes,조회수 141만회,https://www.youtube.com/watch?v=j4YMtK9j_zQ,https://i.ytimg.com/vi/j4YMtK9j_zQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC4sVBrUTrnQhOmkKueGGblS-oUTA
17,New Bag👜✨ | GIVENCHY Photoshoot Behind The Scenes,조회수 36만회,https://www.youtube.com/watch?v=fLMsRh_W9OI,https://i.ytimg.com/vi/fLMsRh_W9OI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDMkaYd91voGw6NE44jSEN2j1xcAw
18,이번 의상은 City 느낌~🌇✨ | aespa 에스파 'Next Level' The Performance Stage Behind,조회수 96만회,https://www.youtube.com/watch?v=XgFm3WMv5wI,https://i.ytimg.com/vi/XgFm3WMv5wI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAU3Qr7xC27aO5SUoepiezzArjy1w
19,That’s my nævis It’s my nævis | Choreography video Behind The Scenes,조회수 149만회,https://www.youtube.com/watch?v=UEfDDkOiFJw,https://i.ytimg.com/vi/UEfDDkOiFJw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAWWWTbmtDxoDBbs4CQcAAVxwFk3w
20,aespa 에스파 'Next Level' The Performance Stage #3,조회수 794만회,https://www.youtube.com/watch?v=82CnK4M2sxo,https://i.ytimg.com/vi/82CnK4M2sxo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA8SoxHdzdbmZ95mqV8w8gSSnOrng
21,다 잘할 준비됐죠?😉 | aespa 에스파 ‘Next Level’ 응원법,조회수 71만회,https://www.youtube.com/watch?v=B9Is5RIpeuI,https://i.ytimg.com/vi/B9Is5RIpeuI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAXgvy44c8ppGBUjTqbxoda8gn8Wg
22,aespa 에스파 'Next Level' The Performance Stage #2,조회수 849만회,https://www.youtube.com/watch?v=hehFXvnWyKo,https://i.ytimg.com/vi/hehFXvnWyKo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCL2Ey6CX9axPgIN_4n33PzqwUWzA
